split_a,pair_type,mean_hTw,frac_positive,n_pairs
10,cut,-13.4888,0.0,60000
10,within_long_d1,10.9997,1.0,58
10,within_long_d2,10.0085,1.0,56
10,within_long_d3,10.8085,1.0,54
10,within_long_d4,11.338,1.0,52
10,within_long_d5,11.3741,1.0,50
10,within_long_d6,10.2945,1.0,48
10,within_long_d7,10.3185,1.0,46
10,within_long_d8,12.2756,1.0,44
10,within_long_d9,5.1776,1.0,42
10,within_long_d10,-0.2536,0.1839,40
10,within_long_d11,-0.2465,0.1837,38
10,within_long_d12,-0.2537,0.1876,36
10,within_long_d13,-0.2672,0.194,34
10,within_long_d14,-0.2854,0.2047,32
10,within_long_d15,-0.3036,0.2195,30
10,within_long_d16,-0.3198,0.2229,28
10,within_long_d17,-0.3353,0.2237,26
10,within_long_d18,-0.3496,0.215,24
10,within_long_d19,-0.3572,0.1964,22
10,within_long_d20,-0.3539,0.159,20
10,within_long_d21,-0.3349,0.1261,18
10,within_long_d22,-0.346,0.0737,16
10,within_long_d23,-0.3915,0.0539,14
10,within_long_d24,-0.4876,0.0221,12
10,within_long_d25,-0.5746,0.007,10
10,within_long_d26,-0.5914,0.0119,8
10,within_long_d27,-0.6644,0.0008,6
10,within_long_d28,-0.6923,0.0013,4
10,within_long_d29,-0.6683,0.0,2
11,within_long,3.5168,0.5324,162400
11,within_short,20.9565,0.9818,22000
11,cut,-0.8423,0.0,63800
11,cut,-10.573,0.0,63800
11,within_long_d1,7.5066,1.0,56
11,within_long_d2,6.8254,1.0,54
11,within_long_d3,7.4786,1.0,52
11,within_long_d4,7.9046,1.0,50
11,within_long_d5,7.9492,1.0,48
11,within_long_d6,7.1362,1.0,46
11,within_long_d7,7.1218,1.0,44
11,within_long_d8,8.5426,1.0,42
11,within_long_d9,3.3661,1.0,40
11,within_long_d10,-0.5508,0.0009,38
11,within_long_d11,-0.5484,0.0011,36
11,within_long_d12,-0.5559,0.0012,34
11,within_long_d13,-0.5684,0.0009,32
11,within_long_d14,-0.5856,0.001,30
11,within_long_d15,-0.6017,0.0011,28
11,within_long_d16,-0.6182,0.0006,26
11,within_long_d17,-0.6332,0.001,24
11,within_long_d18,-0.6436,0.0009,22
11,within_long_d19,-0.6463,0.0005,20
11,within_long_d20,-0.636,0.0003,18
11,within_long_d21,-0.6419,0.0,16
11,within_long_d22,-0.669,0.0,14
11,within_long_d23,-0.7277,0.0,12
11,within_long_d24,-0.7751,0.0,10
11,within_long_d25,-0.779,0.0,8
11,within_long_d26,-0.8076,0.0,6
11,within_long_d27,-0.8181,0.0,4
11,within_long_d28,-0.8065,0.0,2
12,within_long,3.0701,0.5476,151200
12,within_short,16.6514,0.9544,26400
12,cut,-0.8921,0.0,67200
12,cut,-8.1894,0.0,67200
12,within_long_d1,6.5307,1.0,54
12,within_long_d2,5.9305,1.0,52
12,within_long_d3,6.548,1.0,50
12,within_long_d4,6.9497,1.0,48
12,within_long_d5,6.9934,1.0,46
12,within_long_d6,6.2654,1.0,44
12,within_long_d7,6.2422,1.0,42
12,within_long_d8,7.5029,1.0,40
12,within_long_d9,2.792,1.0,38
12,within_long_d10,-0.7236,0.0,36
12,within_long_d11,-0.7227,0.0,34
12,within_long_d12,-0.732,0.0,32
12,within_long_d13,-0.7435,0.0,30
12,within_long_d14,-0.7588,0.0,28
12,within_long_d15,-0.7748,0.0,26
12,within_long_d16,-0.7889,0.0,24
12,within_long_d17,-0.8009,0.0,22
12,within_long_d18,-0.8057,0.0,20
12,within_long_d19,-0.7994,0.0,18
12,within_long_d20,-0.8018,0.0,16
12,within_long_d21,-0.8215,0.0,14
12,within_long_d22,-0.8694,0.0,12
12,within_long_d23,-0.9047,0.0,10
12,within_long_d24,-0.9029,0.0,8
12,within_long_d25,-0.9162,0.0,6
12,within_long_d26,-0.9149,0.0,4
12,within_long_d27,-0.9022,0.0,2
13,within_long,3.0196,0.5641,140400
13,within_short,13.7932,0.923,31200
13,cut,-0.9493,0.0,70200
13,cut,-6.5798,0.0,70200
13,within_long_d1,6.2833,1.0,52
13,within_long_d2,5.7049,1.0,50
13,within_long_d3,6.3327,1.0,48
13,within_long_d4,6.7453,1.0,46
13,within_long_d5,6.7834,1.0,44
13,within_long_d6,6.0622,1.0,42
13,within_long_d7,6.0148,1.0,40
13,within_long_d8,7.2198,1.0,38
13,within_long_d9,2.6015,0.9997,36
13,within_long_d10,-0.8296,0.0,34
13,within_long_d11,-0.8281,0.0,32
