split_a,pair_type,mean_cos,frac_positive,n_pairs
5,cut,-0.6371,0.0,41000
5,cut,-0.6371,0.0,41000
5,within_long_d1,0.9955,1.0,80
5,within_long_d2,0.9888,1.0,78
5,within_long_d3,0.9822,1.0,76
5,within_long_d4,0.9751,1.0,74
5,within_long_d5,0.9677,1.0,72
5,within_long_d6,0.9604,1.0,70
5,within_long_d7,0.9542,1.0,68
5,within_long_d8,0.95,1.0,66
5,within_long_d9,0.947,1.0,64
5,within_long_d10,0.945,1.0,62
5,within_long_d11,0.9438,1.0,60
5,within_long_d12,0.9433,1.0,58
5,within_long_d13,0.9435,1.0,56
5,within_long_d14,0.9438,1.0,54
5,within_long_d15,0.9434,1.0,52
5,within_long_d16,0.9425,1.0,50
5,within_long_d17,0.9418,1.0,48
5,within_long_d18,0.9412,1.0,46
5,within_long_d19,0.9404,1.0,44
5,within_long_d20,0.9398,1.0,42
5,within_long_d21,0.9391,1.0,40
5,within_long_d22,0.9384,1.0,38
5,within_long_d23,0.9376,1.0,36
5,within_long_d24,0.9368,1.0,34
5,within_long_d25,0.9359,1.0,32
5,within_long_d26,0.935,1.0,30
5,within_long_d27,0.9341,1.0,28
5,within_long_d28,0.9334,1.0,26
5,within_long_d29,0.933,1.0,24
5,within_long_d30,0.9334,1.0,22
5,within_long_d31,0.9349,1.0,20
5,within_long_d32,0.9383,1.0,18
5,within_long_d33,0.9428,1.0,16
5,within_long_d34,0.9473,1.0,14
5,within_long_d35,0.9499,1.0,12
5,within_long_d36,0.9502,1.0,10
5,within_long_d37,0.946,1.0,8
5,within_long_d38,0.9378,1.0,6
5,within_long_d39,0.9323,1.0,4
5,within_long_d40,0.9248,1.0,2
6,within_long,0.9449,1.0,312000
6,within_short,0.8151,1.0,6000
6,cut,-0.6326,0.0,48000
6,cut,-0.6326,0.0,48000
6,within_long_d1,0.9948,1.0,78
6,within_long_d2,0.9869,1.0,76
6,within_long_d3,0.9793,1.0,74
6,within_long_d4,0.9712,1.0,72
6,within_long_d5,0.963,1.0,70
6,within_long_d6,0.955,1.0,68
6,within_long_d7,0.9481,1.0,66
6,within_long_d8,0.9435,1.0,64
6,within_long_d9,0.94,1.0,62
6,within_long_d10,0.9375,1.0,60
6,within_long_d11,0.9362,1.0,58
6,within_long_d12,0.9358,1.0,56
6,within_long_d13,0.9361,1.0,54
6,within_long_d14,0.9361,1.0,52
6,within_long_d15,0.9352,1.0,50
6,within_long_d16,0.9338,1.0,48
6,within_long_d17,0.9327,1.0,46
6,within_long_d18,0.9317,1.0,44
6,within_long_d19,0.9307,1.0,42
6,within_long_d20,0.9296,1.0,40
6,within_long_d21,0.9285,1.0,38
6,within_long_d22,0.9272,1.0,36
6,within_long_d23,0.9259,1.0,34
6,within_long_d24,0.9246,1.0,32
6,within_long_d25,0.9234,1.0,30
6,within_long_d26,0.9225,1.0,28
6,within_long_d27,0.9218,1.0,26
6,within_long_d28,0.9216,1.0,24
6,within_long_d29,0.9218,1.0,22
6,within_long_d30,0.9227,1.0,20
6,within_long_d31,0.9246,1.0,18
6,within_long_d32,0.9275,1.0,16
6,within_long_d33,0.9304,1.0,14
6,within_long_d34,0.9314,1.0,12
6,within_long_d35,0.9311,1.0,10
6,within_long_d36,0.9269,1.0,8
6,within_long_d37,0.9188,1.0,6
6,within_long_d38,0.912,1.0,4
6,within_long_d39,0.9038,1.0,2
7,within_long,0.9342,1.0,296400
7,within_short,0.8618,1.0,8400
