=== Job info ===
Node:  gnode11
Array task: 0  -> seed=1000
NVIDIA H200 NVL, 143771 MiB
PyTorch 2.11.0+cu130 | CUDA: True | bf16: True
================

========================================================================
  Paper reproduction (standard Transformer): ER(n=20, p=0.08), filter=unrestricted, seed=1000
  arch=roberta, d_model=512, single-head, normalized-ReLU, 2 layers, online, bf16
  Output: runs/repro_paper_n20_roberta/n20_p008_unrestricted_seed1000
========================================================================

Generating 10,000 ER test graphs (unfiltered) with 16 workers …
  done in 6.7s
Generating 10,000 two_chains test graphs …
  done in 0.4s
Generating 10,000 two_cliques test graphs …
  done in 0.5s
  device: cuda
  arch: roberta
  parameters: 6,326,804
  Starting training: 1,000,000 steps × batch 1000 = 1,000,000,000 samples
  step  550000 | lr=4.22e-05 | loss=0.000428 | ER=0.9994 | 2chain=0.0272 | 2clique=0.4235 | 29.8s/5000
  step  555000 | lr=4.15e-05 | loss=0.000425 | ER=0.9996 | 2chain=0.0021 | 2clique=0.7146 | 29.8s/5000
  step  560000 | lr=4.07e-05 | loss=0.000418 | ER=0.9995 | 2chain=0.0097 | 2clique=0.5938 | 29.8s/5000
  step  565000 | lr=3.99e-05 | loss=0.000412 | ER=0.9995 | 2chain=0.0070 | 2clique=0.5130 | 29.8s/5000
  step  570000 | lr=3.92e-05 | loss=0.000409 | ER=0.9997 | 2chain=0.0010 | 2clique=0.1537 | 29.9s/5000
  step  575000 | lr=3.84e-05 | loss=0.000403 | ER=0.9990 | 2chain=0.0112 | 2clique=0.6091 | 29.8s/5000
  step  580000 | lr=3.76e-05 | loss=0.000401 | ER=0.9987 | 2chain=0.0044 | 2clique=0.6741 | 29.8s/5000
  step  585000 | lr=3.69e-05 | loss=0.000396 | ER=0.9989 | 2chain=0.0527 | 2clique=0.8193 | 29.9s/5000
  step  590000 | lr=3.61e-05 | loss=0.000394 | ER=0.9994 | 2chain=0.0276 | 2clique=0.2587 | 29.8s/5000
  step  595000 | lr=3.54e-05 | loss=0.000386 | ER=0.9997 | 2chain=0.0478 | 2clique=0.0760 | 29.8s/5000
  step  600000 | lr=3.46e-05 | loss=0.000384 | ER=0.9995 | 2chain=0.0140 | 2clique=0.4283 | 29.8s/5000
  step  605000 | lr=3.39e-05 | loss=0.000377 | ER=0.9996 | 2chain=0.0141 | 2clique=0.2539 | 29.8s/5000
  step  610000 | lr=3.31e-05 | loss=0.000375 | ER=0.9994 | 2chain=0.0699 | 2clique=0.2909 | 29.8s/5000
  step  615000 | lr=3.24e-05 | loss=0.000371 | ER=0.9997 | 2chain=0.0501 | 2clique=0.6194 | 29.8s/5000
  step  620000 | lr=3.16e-05 | loss=0.000367 | ER=0.9994 | 2chain=0.0671 | 2clique=0.8968 | 29.8s/5000
  step  625000 | lr=3.09e-05 | loss=0.000363 | ER=0.9997 | 2chain=0.0169 | 2clique=0.7600 | 29.8s/5000
  step  630000 | lr=3.02e-05 | loss=0.000357 | ER=0.9995 | 2chain=0.0276 | 2clique=0.4945 | 29.8s/5000
  step  635000 | lr=2.95e-05 | loss=0.000358 | ER=0.9997 | 2chain=0.0691 | 2clique=0.5815 | 29.8s/5000
  step  640000 | lr=2.88e-05 | loss=0.000350 | ER=0.9996 | 2chain=0.0251 | 2clique=0.8118 | 29.8s/5000
  step  645000 | lr=2.81e-05 | loss=0.000349 | ER=0.9987 | 2chain=0.0318 | 2clique=0.8059 | 29.8s/5000
  step  650000 | lr=2.73e-05 | loss=0.000349 | ER=0.9997 | 2chain=0.0112 | 2clique=0.9369 | 29.8s/5000
  step  655000 | lr=2.67e-05 | loss=0.000344 | ER=0.9997 | 2chain=0.0287 | 2clique=0.7002 | 29.8s/5000
  step  660000 | lr=2.60e-05 | loss=0.000336 | ER=0.9996 | 2chain=0.0127 | 2clique=0.8992 | 29.8s/5000
  step  665000 | lr=2.53e-05 | loss=0.000338 | ER=0.9993 | 2chain=0.0265 | 2clique=0.9557 | 29.9s/5000
  step  670000 | lr=2.46e-05 | loss=0.000331 | ER=0.9991 | 2chain=0.1407 | 2clique=0.8402 | 29.8s/5000
  step  675000 | lr=2.39e-05 | loss=0.000329 | ER=0.9997 | 2chain=0.0045 | 2clique=0.9661 | 29.8s/5000
  step  680000 | lr=2.33e-05 | loss=0.000324 | ER=0.9999 | 2chain=0.0225 | 2clique=0.9779 | 29.8s/5000
  step  685000 | lr=2.26e-05 | loss=0.000319 | ER=0.9995 | 2chain=0.0108 | 2clique=0.8869 | 29.8s/5000
  step  690000 | lr=2.19e-05 | loss=0.000320 | ER=0.9998 | 2chain=0.0419 | 2clique=0.9508 | 29.8s/5000
  step  695000 | lr=2.13e-05 | loss=0.000316 | ER=0.9995 | 2chain=0.0722 | 2clique=0.7249 | 29.8s/5000
  step  700000 | lr=2.06e-05 | loss=0.000313 | ER=0.9998 | 2chain=0.0646 | 2clique=0.6622 | 29.8s/5000
  step  705000 | lr=2.00e-05 | loss=0.000312 | ER=0.9997 | 2chain=0.0530 | 2clique=0.7869 | 29.8s/5000
  step  710000 | lr=1.94e-05 | loss=0.000306 | ER=0.9997 | 2chain=0.0535 | 2clique=0.7752 | 29.8s/5000
  step  715000 | lr=1.88e-05 | loss=0.000304 | ER=0.9993 | 2chain=0.1381 | 2clique=0.8290 | 29.7s/5000
  step  720000 | lr=1.82e-05 | loss=0.000303 | ER=0.9997 | 2chain=0.1438 | 2clique=0.5632 | 29.8s/5000
  step  725000 | lr=1.76e-05 | loss=0.000299 | ER=0.9997 | 2chain=0.0299 | 2clique=0.9935 | 29.8s/5000
  step  730000 | lr=1.70e-05 | loss=0.000296 | ER=0.9998 | 2chain=0.0325 | 2clique=0.7942 | 29.8s/5000
  step  735000 | lr=1.64e-05 | loss=0.000294 | ER=0.9999 | 2chain=0.1348 | 2clique=0.9508 | 29.7s/5000
  step  740000 | lr=1.58e-05 | loss=0.000292 | ER=0.9996 | 2chain=0.1222 | 2clique=0.8974 | 29.8s/5000
  step  745000 | lr=1.52e-05 | loss=0.000287 | ER=0.9998 | 2chain=0.1133 | 2clique=0.6831 | 29.8s/5000
  step  750000 | lr=1.47e-05 | loss=0.000286 | ER=0.9998 | 2chain=0.1666 | 2clique=0.9409 | 29.8s/5000
  step  755000 | lr=1.41e-05 | loss=0.000283 | ER=0.9999 | 2chain=0.2447 | 2clique=0.9330 | 29.8s/5000
  step  760000 | lr=1.36e-05 | loss=0.000285 | ER=0.9999 | 2chain=0.0505 | 2clique=0.7911 | 29.8s/5000
  step  765000 | lr=1.30e-05 | loss=0.000276 | ER=0.9999 | 2chain=0.1008 | 2clique=0.9407 | 29.9s/5000
  step  770000 | lr=1.25e-05 | loss=0.000277 | ER=0.9999 | 2chain=0.1307 | 2clique=0.9993 | 29.8s/5000
  step  775000 | lr=1.20e-05 | loss=0.000273 | ER=0.9998 | 2chain=0.0990 | 2clique=0.8555 | 29.7s/5000
  step  780000 | lr=1.15e-05 | loss=0.000273 | ER=0.9998 | 2chain=0.2259 | 2clique=0.8971 | 29.8s/5000
  step  785000 | lr=1.10e-05 | loss=0.000269 | ER=0.9998 | 2chain=0.1638 | 2clique=0.8165 | 29.7s/5000
  step  790000 | lr=1.05e-05 | loss=0.000269 | ER=0.9999 | 2chain=0.0880 | 2clique=0.9851 | 29.8s/5000
  step  795000 | lr=1.00e-05 | loss=0.000265 | ER=0.9999 | 2chain=0.4003 | 2clique=0.9494 | 29.8s/5000
  step  800000 | lr=9.57e-06 | loss=0.000263 | ER=0.9998 | 2chain=0.3113 | 2clique=0.9647 | 29.8s/5000
  step  805000 | lr=9.11e-06 | loss=0.000263 | ER=0.9999 | 2chain=0.1366 | 2clique=0.9006 | 29.8s/5000
  step  810000 | lr=8.66e-06 | loss=0.000260 | ER=0.9999 | 2chain=0.4325 | 2clique=0.9987 | 29.8s/5000
  step  815000 | lr=8.23e-06 | loss=0.000257 | ER=1.0000 | 2chain=0.2030 | 2clique=0.9675 | 29.8s/5000
  step  820000 | lr=7.80e-06 | loss=0.000254 | ER=0.9999 | 2chain=0.2151 | 2clique=0.9474 | 29.8s/5000
  step  825000 | lr=7.38e-06 | loss=0.000256 | ER=0.9999 | 2chain=0.1755 | 2clique=0.9942 | 29.8s/5000
  step  830000 | lr=6.98e-06 | loss=0.000250 | ER=0.9999 | 2chain=0.2270 | 2clique=0.9824 | 29.8s/5000
  step  835000 | lr=6.58e-06 | loss=0.000250 | ER=1.0000 | 2chain=0.2039 | 2clique=0.9882 | 29.8s/5000
  step  840000 | lr=6.20e-06 | loss=0.000248 | ER=0.9999 | 2chain=0.2305 | 2clique=0.9891 | 29.8s/5000
  step  845000 | lr=5.82e-06 | loss=0.000247 | ER=0.9999 | 2chain=0.4067 | 2clique=0.9963 | 29.8s/5000
  step  850000 | lr=5.46e-06 | loss=0.000248 | ER=0.9999 | 2chain=0.2353 | 2clique=0.9803 | 29.8s/5000
  step  855000 | lr=5.11e-06 | loss=0.000246 | ER=1.0000 | 2chain=0.1672 | 2clique=0.9934 | 29.7s/5000
  step  860000 | lr=4.77e-06 | loss=0.000245 | ER=1.0000 | 2chain=0.2046 | 2clique=0.9985 | 29.9s/5000
