=== Job info ===
Node:  gnode13
NVIDIA H200 NVL, 143771 MiB
PyTorch 2.11.0+cu130 | CUDA: True | bf16: True
================

========================================================================
  Big ER training: ER(n=40, p=0.05), filter=unfiltered
  d_model=512, normalized-ReLU, online data, bf16
  Output: runs/retrain_er_n40_big_494127/n40_p005_unfiltered_big
========================================================================

Generating 10,000 test graphs (unfiltered) with 16 workers …
  done in 2.1s
  device: cuda
  parameters: 6,347,304
  Starting training: 1,000,000 steps × batch 1000 = 1,000,000,000 samples
  step  865000 | lr=4.44e-06 | loss=0.000006 | exact=0.9996 | pair=1.0000 | 51.9s for 5000 steps
  step  870000 | lr=4.12e-06 | loss=0.000006 | exact=0.9997 | pair=1.0000 | 52.1s for 5000 steps
  step  875000 | lr=3.81e-06 | loss=0.000006 | exact=0.9997 | pair=1.0000 | 52.4s for 5000 steps
  step  880000 | lr=3.52e-06 | loss=0.000006 | exact=0.9996 | pair=1.0000 | 51.6s for 5000 steps
  step  885000 | lr=3.23e-06 | loss=0.000006 | exact=0.9997 | pair=1.0000 | 51.9s for 5000 steps
  step  890000 | lr=2.96e-06 | loss=0.000006 | exact=0.9996 | pair=1.0000 | 52.3s for 5000 steps
  step  895000 | lr=2.70e-06 | loss=0.000006 | exact=0.9995 | pair=1.0000 | 51.8s for 5000 steps
  step  900000 | lr=2.45e-06 | loss=0.000006 | exact=0.9997 | pair=1.0000 | 51.9s for 5000 steps
  step  905000 | lr=2.21e-06 | loss=0.000006 | exact=0.9997 | pair=1.0000 | 52.2s for 5000 steps
  step  910000 | lr=1.99e-06 | loss=0.000005 | exact=0.9997 | pair=1.0000 | 51.9s for 5000 steps
  step  915000 | lr=1.78e-06 | loss=0.000006 | exact=0.9996 | pair=1.0000 | 52.1s for 5000 steps
  step  920000 | lr=1.57e-06 | loss=0.000006 | exact=0.9996 | pair=1.0000 | 52.3s for 5000 steps
  step  925000 | lr=1.38e-06 | loss=0.000006 | exact=0.9997 | pair=1.0000 | 52.0s for 5000 steps
  step  930000 | lr=1.21e-06 | loss=0.000005 | exact=0.9996 | pair=1.0000 | 51.7s for 5000 steps
  step  935000 | lr=1.04e-06 | loss=0.000005 | exact=0.9995 | pair=1.0000 | 51.9s for 5000 steps
  step  940000 | lr=8.87e-07 | loss=0.000006 | exact=0.9995 | pair=1.0000 | 51.6s for 5000 steps
  step  945000 | lr=7.46e-07 | loss=0.000005 | exact=0.9995 | pair=1.0000 | 51.7s for 5000 steps
  step  950000 | lr=6.17e-07 | loss=0.000005 | exact=0.9995 | pair=1.0000 | 51.8s for 5000 steps
  step  955000 | lr=5.00e-07 | loss=0.000006 | exact=0.9995 | pair=1.0000 | 52.0s for 5000 steps
  step  960000 | lr=3.95e-07 | loss=0.000005 | exact=0.9996 | pair=1.0000 | 51.8s for 5000 steps
  step  965000 | lr=3.03e-07 | loss=0.000005 | exact=0.9995 | pair=1.0000 | 51.8s for 5000 steps
  step  970000 | lr=2.22e-07 | loss=0.000005 | exact=0.9997 | pair=1.0000 | 52.0s for 5000 steps
  step  975000 | lr=1.54e-07 | loss=0.000006 | exact=0.9995 | pair=1.0000 | 51.5s for 5000 steps
  step  980000 | lr=9.89e-08 | loss=0.000005 | exact=0.9996 | pair=1.0000 | 51.6s for 5000 steps
  step  985000 | lr=5.56e-08 | loss=0.000005 | exact=0.9996 | pair=1.0000 | 51.9s for 5000 steps
  step  990000 | lr=2.47e-08 | loss=0.000005 | exact=0.9996 | pair=1.0000 | 51.7s for 5000 steps
  step  995000 | lr=6.18e-09 | loss=0.000005 | exact=0.9995 | pair=1.0000 | 52.0s for 5000 steps
  step 1000000 | lr=0.00e+00 | loss=0.000005 | exact=0.9995 | pair=1.0000 | 51.6s for 5000 steps

Done. Best exact match: 0.9997
Results in: runs/retrain_er_n40_big_494127/n40_p005_unfiltered_big
