=== Job info ===
Node:  gnode10
Array task: 2  -> seed=3000
NVIDIA H200 NVL, 143771 MiB
PyTorch 2.11.0+cu130 | CUDA: True | bf16: True
================

========================================================================
  Paper reproduction (standard Transformer): ER(n=20, p=0.08), filter=diam9, seed=3000
  arch=roberta, d_model=512, single-head, normalized-ReLU, 2 layers, online, bf16
  Output: runs/repro_paper_n20_roberta/n20_p008_diam9_seed3000
========================================================================

Generating 10,000 ER test graphs (D≤9) with 16 workers …
  done in 6.5s
Generating 10,000 two_chains test graphs …
  done in 0.4s
Generating 10,000 two_cliques test graphs …
  done in 0.5s
  device: cuda
  arch: roberta
  parameters: 6,326,804
  Starting training: 1,000,000 steps × batch 1000 = 1,000,000,000 samples
  step  560000 | lr=4.07e-05 | loss=0.000389 | ER=0.9966 | 2chain=0.0000 | 2clique=0.0000 | 92.8s/5000
  step  565000 | lr=3.99e-05 | loss=0.000385 | ER=0.9970 | 2chain=0.0000 | 2clique=0.0000 | 93.0s/5000
  step  570000 | lr=3.92e-05 | loss=0.000382 | ER=0.9955 | 2chain=0.0000 | 2clique=0.0000 | 92.8s/5000
  step  575000 | lr=3.84e-05 | loss=0.000376 | ER=0.9979 | 2chain=0.0000 | 2clique=0.0000 | 93.0s/5000
  step  580000 | lr=3.76e-05 | loss=0.000372 | ER=0.9983 | 2chain=0.0000 | 2clique=0.0000 | 93.0s/5000
  step  585000 | lr=3.69e-05 | loss=0.000369 | ER=0.9969 | 2chain=0.0000 | 2clique=0.0000 | 93.0s/5000
  step  590000 | lr=3.61e-05 | loss=0.000360 | ER=0.9977 | 2chain=0.0000 | 2clique=0.0000 | 93.0s/5000
  step  595000 | lr=3.54e-05 | loss=0.000359 | ER=0.9977 | 2chain=0.0000 | 2clique=0.0000 | 92.8s/5000
  step  600000 | lr=3.46e-05 | loss=0.000354 | ER=0.9977 | 2chain=0.0000 | 2clique=0.0000 | 93.0s/5000
  step  605000 | lr=3.39e-05 | loss=0.000351 | ER=0.9982 | 2chain=0.0000 | 2clique=0.0000 | 93.3s/5000
  step  610000 | lr=3.31e-05 | loss=0.000346 | ER=0.9980 | 2chain=0.0001 | 2clique=0.0000 | 93.8s/5000
  step  615000 | lr=3.24e-05 | loss=0.000342 | ER=0.9980 | 2chain=0.0000 | 2clique=0.0000 | 92.8s/5000
  step  620000 | lr=3.16e-05 | loss=0.000337 | ER=0.9980 | 2chain=0.0000 | 2clique=0.0000 | 92.8s/5000
  step  625000 | lr=3.09e-05 | loss=0.000334 | ER=0.9980 | 2chain=0.0000 | 2clique=0.0000 | 93.1s/5000
  step  630000 | lr=3.02e-05 | loss=0.000329 | ER=0.9978 | 2chain=0.0000 | 2clique=0.0000 | 93.0s/5000
  step  635000 | lr=2.95e-05 | loss=0.000330 | ER=0.9973 | 2chain=0.0000 | 2clique=0.0000 | 93.6s/5000
