split_a,pair_type,mean_hTw,frac_positive,n_pairs
11,within_long_d17,0.5869,0.6842,24
11,within_long_d18,0.5902,0.682,22
11,within_long_d19,0.5907,0.679,20
11,within_long_d20,0.6062,0.6892,18
11,within_long_d21,0.6487,0.7194,16
11,within_long_d22,0.6961,0.7743,14
11,within_long_d23,0.7439,0.8146,12
11,within_long_d24,0.8009,0.857,10
11,within_long_d25,0.8703,0.8956,8
11,within_long_d26,0.9098,0.9258,6
11,within_long_d27,1.0107,0.95,4
11,within_long_d28,1.1996,0.995,2
12,within_long,4.4696,0.8533,151200
12,within_short,9.2921,0.9958,26400
12,cut,0.5375,0.6471,67200
12,cut,-0.595,0.3719,67200
12,within_long_d1,11.0424,1.0,54
12,within_long_d2,11.7361,1.0,52
12,within_long_d3,11.6777,1.0,50
12,within_long_d4,8.0901,1.0,48
12,within_long_d5,7.1985,1.0,46
12,within_long_d6,6.2018,1.0,44
12,within_long_d7,5.0547,1.0,42
12,within_long_d8,3.5191,1.0,40
12,within_long_d9,0.974,0.8007,38
12,within_long_d10,0.5227,0.6354,36
12,within_long_d11,0.5217,0.6349,34
12,within_long_d12,0.5181,0.6289,32
12,within_long_d13,0.5293,0.6382,30
12,within_long_d14,0.5502,0.6562,28
12,within_long_d15,0.5764,0.6777,26
12,within_long_d16,0.5956,0.696,24
12,within_long_d17,0.5978,0.7059,22
12,within_long_d18,0.5969,0.6867,20
12,within_long_d19,0.6124,0.6925,18
12,within_long_d20,0.6528,0.7434,16
12,within_long_d21,0.6974,0.7832,14
12,within_long_d22,0.746,0.8267,12
12,within_long_d23,0.8077,0.875,10
12,within_long_d24,0.8808,0.925,8
12,within_long_d25,0.9242,0.9542,6
12,within_long_d26,1.0263,0.9637,4
12,within_long_d27,1.2181,0.995,2
13,within_long,4.6196,0.8543,140400
13,within_short,8.825,0.9957,31200
13,cut,0.5447,0.646,70200
13,cut,-0.1691,0.4908,70200
13,within_long_d1,11.0741,1.0,52
13,within_long_d2,11.7735,1.0,50
13,within_long_d3,11.7087,1.0,48
13,within_long_d4,8.144,1.0,46
13,within_long_d5,7.2647,1.0,44
13,within_long_d6,6.2668,1.0,42
13,within_long_d7,5.1031,1.0,40
13,within_long_d8,3.5527,0.9999,38
13,within_long_d9,1.0014,0.8154,36
13,within_long_d10,0.5348,0.6324,34
13,within_long_d11,0.5344,0.6386,32
13,within_long_d12,0.5335,0.6397,30
13,within_long_d13,0.5441,0.6466,28
13,within_long_d14,0.5592,0.6506,26
13,within_long_d15,0.5739,0.6708,24
13,within_long_d16,0.5735,0.6677,22
13,within_long_d17,0.5712,0.662,20
13,within_long_d18,0.5834,0.6694,18
13,within_long_d19,0.6222,0.7056,16
13,within_long_d20,0.6676,0.7436,14
13,within_long_d21,0.7164,0.7858,12
13,within_long_d22,0.7802,0.8475,10
13,within_long_d23,0.8509,0.9019,8
13,within_long_d24,0.8987,0.9258,6
13,within_long_d25,1.011,0.9425,4
13,within_long_d26,1.2038,0.9975,2
14,within_long,4.8168,0.872,130000
14,within_short,8.2903,0.9921,36400
14,cut,0.5654,0.6669,72800
14,cut,0.1214,0.5649,72800
14,within_long_d1,11.1414,1.0,50
14,within_long_d2,11.8277,1.0,48
14,within_long_d3,11.7964,1.0,46
14,within_long_d4,8.2646,1.0,44
14,within_long_d5,7.3926,1.0,42
14,within_long_d6,6.3766,1.0,40
14,within_long_d7,5.2047,1.0,38
14,within_long_d8,3.6125,1.0,36
14,within_long_d9,1.0353,0.83,34
14,within_long_d10,0.5647,0.6634,32
14,within_long_d11,0.5666,0.6653,30
14,within_long_d12,0.5678,0.6677,28
14,within_long_d13,0.5767,0.6727,26
14,within_long_d14,0.5872,0.6827,24
14,within_long_d15,0.588,0.687,22
14,within_long_d16,0.5861,0.686,20
14,within_long_d17,0.6035,0.6969,18
14,within_long_d18,0.6466,0.7281,16
14,within_long_d19,0.6926,0.7739,14
14,within_long_d20,0.7386,0.8129,12
14,within_long_d21,0.7962,0.857,10
14,within_long_d22,0.8616,0.9069,8
14,within_long_d23,0.9037,0.9358,6
14,within_long_d24,1.0123,0.95,4
14,within_long_d25,1.2129,0.9925,2
15,within_long,5.0385,0.8896,120000
15,within_short,7.832,0.9845,42000
15,cut,0.5986,0.697,75000
15,cut,0.305,0.6113,75000
15,within_long_d1,11.2592,1.0,48
15,within_long_d2,11.9366,1.0,46
15,within_long_d3,11.8995,1.0,44
15,within_long_d4,8.41,1.0,42
15,within_long_d5,7.5208,1.0,40
15,within_long_d6,6.488,1.0,38
15,within_long_d7,5.299,1.0,36
15,within_long_d8,3.6844,1.0,34
15,within_long_d9,1.0925,0.8569,32
15,within_long_d10,0.619,0.7127,30
15,within_long_d11,0.62,0.7104,28
15,within_long_d12,0.6145,0.7085,26
15,within_long_d13,0.6076,0.7,24
15,within_long_d14,0.5982,0.6948,22
15,within_long_d15,0.593,0.6915,20
15,within_long_d16,0.6055,0.6975,18
15,within_long_d17,0.648,0.7328,16
15,within_long_d18,0.6932,0.7761,14
15,within_long_d19,0.7437,0.8321,12
15,within_long_d20,0.8046,0.874,10
15,within_long_d21,0.8731,0.9213,8
15,within_long_d22,0.9148,0.9433,6
15,within_long_d23,1.02,0.9587,4
15,within_long_d24,1.2069,1.0,2
16,within_long,5.2231,0.8973,110400
16,within_short,7.4405,0.9783,48000
16,cut,0.6039,0.6961,76800
16,cut,0.4664,0.6673,76800
16,within_long_d1,11.2606,1.0,46
16,within_long_d2,11.9118,1.0,44
16,within_long_d3,11.8852,1.0,42
16,within_long_d4,8.4632,1.0,40
16,within_long_d5,7.6043,1.0,38
16,within_long_d6,6.5796,1.0,36
16,within_long_d7,5.3779,1.0,34
16,within_long_d8,3.736,1.0,32
16,within_long_d9,1.1324,0.8655,30
16,within_long_d10,0.6419,0.7188,28
16,within_long_d11,0.6394,0.7148,26
16,within_long_d12,0.6248,0.7083,24
16,within_long_d13,0.6055,0.7,22
16,within_long_d14,0.5924,0.696,20
16,within_long_d15,0.6041,0.6956,18
16,within_long_d16,0.647,0.7391,16
16,within_long_d17,0.6913,0.7775,14
16,within_long_d18,0.7401,0.8213,12
16,within_long_d19,0.7961,0.864,10
16,within_long_d20,0.8608,0.9025,8
16,within_long_d21,0.8959,0.9325,6
16,within_long_d22,1.0036,0.9413,4
16,within_long_d23,1.1815,0.9975,2
17,within_long,5.4573,0.9101,101200
17,within_short,7.1013,0.9682,54400
17,cut,0.6377,0.7226,78200
17,cut,0.5444,0.686,78200
17,within_long_d1,11.355,1.0,44
17,within_long_d2,11.972,1.0,42
17,within_long_d3,11.9494,1.0,40
17,within_long_d4,8.572,1.0,38
17,within_long_d5,7.726,1.0,36
17,within_long_d6,6.6929,1.0,34
17,within_long_d7,5.466,1.0,32
17,within_long_d8,3.7953,1.0,30
17,within_long_d9,1.1872,0.882,28
17,within_long_d10,0.6824,0.7446,26
17,within_long_d11,0.669,0.7271,24
17,within_long_d12,0.6375,0.727,22
17,within_long_d13,0.6132,0.7015,20
17,within_long_d14,0.6194,0.705,18
17,within_long_d15,0.6577,0.7459,16
17,within_long_d16,0.7026,0.7786,14
17,within_long_d17,0.7477,0.8275,12
17,within_long_d18,0.8056,0.8755,10
17,within_long_d19,0.8704,0.9175,8
17,within_long_d20,0.9076,0.9383,6
17,within_long_d21,1.0187,0.95,4
17,within_long_d22,1.2107,0.9975,2
18,within_long,5.6833,0.9164,92400
18,within_short,6.7534,0.9577,61200
18,cut,0.6252,0.7192,79200
18,cut,0.5932,0.7007,79200
18,within_long_d1,11.4399,1.0,42
18,within_long_d2,12.0143,1.0,40
18,within_long_d3,11.992,1.0,38
18,within_long_d4,8.699,1.0,36
18,within_long_d5,7.854,1.0,34
18,within_long_d6,6.7972,1.0,32
18,within_long_d7,5.5333,1.0,30
18,within_long_d8,3.7895,1.0,28
18,within_long_d9,1.1876,0.8806,26
18,within_long_d10,0.6659,0.7342,24
18,within_long_d11,0.6448,0.732,22
18,within_long_d12,0.6134,0.7143,20
18,within_long_d13,0.608,0.7017,18
18,within_long_d14,0.6382,0.7375,16
18,within_long_d15,0.6781,0.7725,14
18,within_long_d16,0.7268,0.8121,12
18,within_long_d17,0.7859,0.866,10
18,within_long_d18,0.8551,0.9194,8
18,within_long_d19,0.901,0.9425,6
18,within_long_d20,0.9962,0.955,4
18,within_long_d21,1.1725,0.995,2
19,within_long,5.9048,0.9234,84000
19,within_short,6.4702,0.9457,68400
19,cut,0.6204,0.7172,79800
19,cut,0.6067,0.6956,79800
19,within_long_d1,11.4591,1.0,40
19,within_long_d2,12.0155,1.0,38
19,within_long_d3,12.0057,1.0,36
19,within_long_d4,8.7459,1.0,34
19,within_long_d5,7.908,1.0,32
19,within_long_d6,6.8484,1.0,30
19,within_long_d7,5.5842,1.0,28
19,within_long_d8,3.8121,1.0,26
19,within_long_d9,1.1884,0.8746,24
19,within_long_d10,0.6466,0.7305,22
19,within_long_d11,0.6274,0.718,20
19,within_long_d12,0.6186,0.7056,18
19,within_long_d13,0.644,0.7294,16
19,within_long_d14,0.678,0.7661,14
19,within_long_d15,0.7239,0.8133,12
19,within_long_d16,0.7895,0.871,10
19,within_long_d17,0.8608,0.9213,8
19,within_long_d18,0.903,0.9375,6
19,within_long_d19,1.0062,0.96,4
19,within_long_d20,1.1941,1.0,2
20,within_long,6.1506,0.9344,76000
20,within_short,6.2142,0.9398,76000
20,cut,0.6177,0.7252,80000
20,cut,0.6384,0.7396,80000
20,within_long_d1,11.4626,1.0,38
20,within_long_d2,11.9912,1.0,36
20,within_long_d3,11.9988,1.0,34
20,within_long_d4,8.7966,1.0,32
20,within_long_d5,7.9825,1.0,30
20,within_long_d6,6.9575,1.0,28
20,within_long_d7,5.6848,1.0,26
20,within_long_d8,3.8605,1.0,24
20,within_long_d9,1.201,0.8707,22
20,within_long_d10,0.632,0.733,20
20,within_long_d11,0.6385,0.7342,18
20,within_long_d12,0.6644,0.7647,16
20,within_long_d13,0.6871,0.7775,14
20,within_long_d14,0.7207,0.8087,12
20,within_long_d15,0.7779,0.8485,10
20,within_long_d16,0.8505,0.9044,8
20,within_long_d17,0.893,0.9342,6
20,within_long_d18,0.9956,0.97,4
20,within_long_d19,1.1914,0.9975,2
